TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
38;12;12;8;ch;5;8;0;2;5;9;1;3;5;9;2;4;8;8;3;0;5;8;4;0;5;8;5;0;5;8;6;0;5;8;7;2;5;9;8;2;5;9;9;2;5;9;10;3;5;9;11;3;5;9;12;3;5;9;13;3;5;9;14;3;5;9;ran;1;5;8
39;11;10;7;ch;5;6;0;0;5;6;1;1;7;7;2;1;7;7;3;1;7;7;4;1;7;7;5;1;7;7;6;1;7;7;7;1;7;7;8;1;7;7;9;1;7;7;10;1;7;7;11;1;7;7;12;1;7;7;13;1;7;7;14;1;7;7;ran;0;5;6
40;24;12;16;ch;14;16;0;1;12;16;1;0;14;16;2;0;14;16;3;0;14;16;4;0;14;16;5;0;14;16;6;0;14;16;7;0;14;16;8;0;14;16;9;0;14;16;10;0;14;16;11;3;12;17;12;3;12;17;13;3;12;17;14;3;12;17;ran;0;14;16
41;40;21;26;ch;22;25;0;0;22;25;1;4;22;25;2;4;22;25;3;4;22;25;4;4;22;25;5;4;22;25;6;4;22;25;7;4;22;25;8;4;22;25;9;4;22;25;10;4;22;25;11;4;22;25;12;4;22;25;13;4;22;25;14;4;22;25;ran;0;22;25
42;13;9;6;ch;6;6;0;1;6;6;1;1;6;6;2;1;6;6;3;1;6;6;4;1;6;6;5;1;6;6;6;1;6;6;7;1;6;6;8;1;6;6;9;1;6;6;10;1;6;6;11;1;6;6;12;1;6;6;13;1;6;6;14;1;6;6;ran;1;6;6
43;14;9;8;ch;5;8;0;0;5;8;1;1;5;9;2;1;5;9;3;1;5;9;4;1;5;9;5;1;5;9;6;1;5;9;7;1;5;9;8;1;5;9;9;1;5;9;10;1;5;9;11;1;5;9;12;1;5;9;13;1;5;9;14;1;5;9;ran;4;5;9
44;40;14;24;ch;22;24;0;0;22;24;1;3;21;24;2;3;21;24;3;2;21;24;4;2;21;24;5;2;21;24;6;3;21;24;7;2;21;24;8;2;21;24;9;2;21;24;10;2;21;24;11;2;21;24;12;2;21;24;13;2;21;24;14;2;21;24;ran;4;22;25
45;20;13;14;ch;14;14;0;2;14;14;1;2;14;14;2;2;14;14;3;0;14;14;4;0;14;14;5;0;14;14;6;0;14;14;7;0;14;14;8;0;14;14;9;0;14;14;10;0;14;14;11;1;13;15;12;1;13;15;13;1;13;15;14;1;13;15;ran;1;13;15
46;32;9;16;ch;14;19;0;3;14;16;1;3;14;16;2;3;14;16;3;3;14;16;4;3;14;16;5;3;14;16;6;3;14;16;7;3;14;16;8;3;14;16;9;3;14;16;10;3;14;16;11;3;14;16;12;3;14;16;13;3;14;16;14;3;14;16;ran;2;14;18
47;29;14;18;ch;18;18;0;3;17;17;1;3;17;17;2;3;17;17;3;3;17;17;4;3;17;17;5;0;18;18;6;0;18;18;7;1;18;19;8;1;18;19;9;1;18;19;10;1;18;19;11;1;18;19;12;1;18;19;13;1;18;19;14;1;18;19;ran;0;18;18
48;19;17;14;ch;14;14;0;3;13;13;1;3;13;13;2;3;13;13;3;3;13;13;4;3;13;13;5;3;13;13;6;3;13;13;7;3;13;13;8;3;13;13;9;3;13;13;10;3;13;13;11;3;13;13;12;3;13;13;13;3;13;13;14;3;13;13;ran;0;14;14
49;13;10;9;ch;9;9;0;0;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;0;9;9;7;0;9;9;8;0;9;9;9;0;9;9;10;0;9;9;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;2;9;10
50;11;8;7;ch;6;6;0;0;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;4;6;6
51;21;12;14;ch;14;15;0;2;13;13;1;1;10;14;2;1;10;14;3;1;10;14;4;1;10;14;5;1;10;14;6;1;10;14;7;1;10;14;8;1;10;14;9;1;10;14;10;1;10;14;11;1;10;14;12;1;10;14;13;1;10;14;14;1;10;14;ran;1;10;14
53;18;8;8;ch;7;8;0;4;7;8;1;0;7;8;2;0;7;8;3;0;7;8;4;0;7;8;5;0;7;8;6;0;7;8;7;0;7;8;8;2;7;8;9;2;7;8;10;2;7;8;11;2;7;8;12;2;7;8;13;2;7;8;14;2;7;8;ran;0;7;8
54;11;8;5;ch;5;5;0;3;5;5;1;1;5;5;2;1;5;5;3;1;5;5;4;1;5;5;5;1;5;5;6;1;5;5;7;1;5;5;8;1;5;5;9;1;5;5;10;1;5;5;11;1;5;5;12;1;5;5;13;1;5;5;14;1;5;5;ran;3;5;5
55;23;10;14;ch;9;13;0;0;9;13;1;4;9;13;2;2;12;13;3;2;12;13;4;4;9;13;5;4;9;13;6;4;9;13;7;4;9;13;8;4;9;13;9;4;9;13;10;4;9;13;11;4;9;13;12;4;9;13;13;4;9;13;14;4;9;13;ran;1;9;14
