freq;,length;occ;cxs
3;6;203,275,333;(TOP>PUNC^1 (TOP>NP@[P1] (NP@[P0] (NP>ADVP:ADJ )) ) (PUNC@[A4] (.*TOP>PUNC^1@[P3] (TOP>PUNC*@[S2] ) ) ) )
3;10;454,585,662;(TOP>PUNC^1 (TOP>S@[P5] (TOP>UH )(S@[A4] (S>VP:COMP@[P3] (S>NP:COMP )(VP:COMP@[A2] (VB:HD@[P1] (see@[P0] (S>VP:COMP^1 )) ) ) ) ) ) (PUNC@[A8] (.*TOP>PUNC^1@[P7] (TOP>PUNC*@[S6] ) ) ) )
3;12;132,218,582;(TOP>PUNC^1 (TOP>S@[P7] (S@[P6] (S>VP:COMP@[P5] (S>MD:HD )(VP:COMP@[A4] (VP:COMP>PP:ADJ@[P3] (VP:COMP>NP:COMP )(PP:ADJ@[A2] (PP:ADJ>NP:COMP@[P1] (PP:ADJ>IN:HD )(NP:COMP@[A0] (NP:HD ) ) ) ) ) ) ) ) ) (PUNC@[A10] (.*TOP>PUNC^1@[P9] (TOP>PUNC*@[S8] ) ) ) )
3;30;606,620,660;(TOP>PUNC^1 (TOP>S@[P25] (TOP>UH )(S@[A24] (S>VP:COMP^1@[P23] (S>MD:HD^1@[P7] (S>NP:SBJ@[P3] (NP:SBJ@[P2] (PP:HD@[P1] (I@[P0] (TOP>S^1 )) ) ) ) (MD:HD@[A6] (will*S>MD:HD^1@[P5] (S>MD:HD*@[S4] ) ) ) ) (VP:COMP@[A22] (VP:COMP>ADVP:ADJ^1@[P21] (VP:COMP>NP:COMP^1@[P16] (VP:COMP>VB:HD@[P11] (VB:HD@[P10] (see*S>VP:COMP^1@[P9] (S>VP:COMP*@[S8] ) ) ) ) (NP:COMP@[A15] (PP:HD@[P14] (you*VP:COMP>NP:COMP^1@[P13] (VP:COMP>NP:COMP*@[S12] ) ) ) ) ) (ADVP:ADJ@[A20] (RB:HD@[P19] (then*VP:COMP>ADVP:ADJ^1@[P18] (VP:COMP>ADVP:ADJ*@[S17] ) ) ) ) ) ) ) ) ) (PUNC@[A28] (.*TOP>PUNC^1@[P27] (TOP>PUNC*@[S26] ) ) ) )
3;8;666,850,862;(TOP>PUNC^1 (TOP>UH@[P3] (TOP>NP )(UH@[A2] (okay*TOP>UH^1@[P1] (TOP>UH*@[S0] ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;4;260,463,577;(TOP>PUNC (TOP>AP )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
3;4;195,829,879;(TOP>PUNC (TOP>RB )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
3;5;143,375,799;(TOP>PUNC^1 (TOP>SUGG@[P0] (SUGG )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
3;8;239,474,740;(TOP>PUNC^1 (TOP>S@[P3] (S@[P2] (S>VP:COMP@[P1] (S>MD:HD )(VP:COMP@[A0] (VP:COMP>AP:COMP ) ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;7;172,280,607;(TOP>PUNC^1 (TOP>S@[P2] (S@[P1] (S>VP:COMP@[P0] (S>VBP:HD )(VP:COMP )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
